Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Kentavious Caldwell-Pope,ORL,DEN,L,26.57,2,6,0.333,1,3,0.333,2,2,1.0,1,3,4,3,1,0,0,1,7,7.9,2025-02-06
Rui Hachimura,LAL,GSW,W,38.72,4,9,0.444,1,5,0.2,2,4,0.5,0,4,4,3,0,0,0,3,11,7.6,2025-02-06
DeAndre Jordan,DEN,ORL,W,12.05,4,4,1.0,0,0,0.0,0,0,0.0,3,4,7,1,0,0,3,1,8,7.4,2025-02-06
Derrick Jones Jr.,LAC,IND,L,27.42,5,10,0.5,2,5,0.4,0,0,0.0,2,2,4,1,1,0,3,2,12,6.9,2025-02-06
Brandin Podziemski,GSW,LAL,L,34.45,3,10,0.3,0,3,0.0,2,6,0.333,2,6,8,7,0,0,1,2,8,6.9,2025-02-06
Jaden McDaniels,MIN,HOU,W,30.62,6,15,0.4,0,4,0.0,0,0,0.0,5,3,8,4,0,1,3,5,12,6.8,2025-02-06
Anthony Black,ORL,DEN,L,26.25,2,6,0.333,0,3,0.0,4,5,0.8,1,0,1,4,2,0,3,1,8,6.3,2025-02-06
Kessler Edwards,DAL,BOS,W,14.63,1,1,1.0,0,0,0.0,1,1,1.0,0,3,3,3,0,1,0,2,3,5.6,2025-02-06
Dorian Finney-Smith,LAL,GSW,W,33.45,3,6,0.5,1,4,0.25,0,0,0.0,0,1,1,3,2,0,2,2,7,5.6,2025-02-06
Keon Ellis,SAC,POR,L,23.57,2,4,0.5,1,2,0.5,2,2,1.0,0,3,3,0,2,0,2,1,7,5.5,2025-02-06
Scoot Henderson,POR,SAC,W,21.72,2,5,0.4,1,3,0.333,0,0,0.0,0,1,1,8,2,0,4,2,5,5.4,2025-02-06
Tristan Da Silva,ORL,DEN,L,18.15,2,6,0.333,1,4,0.25,2,2,1.0,1,1,2,0,0,1,0,0,7,5.3,2025-02-06
Drew Peterson,BOS,DAL,L,9.58,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,3,0,0,0,0,3,5.1,2025-02-06
Aaron Nesmith,IND,LAC,W,20.5,0,3,0.0,0,2,0.0,4,4,1.0,0,3,3,3,0,0,0,0,4,4.9,2025-02-06
Jalen Pickett,DEN,ORL,W,31.05,2,6,0.333,1,3,0.333,0,0,0.0,0,3,3,5,0,1,1,2,5,4.9,2025-02-06
Jonas Valančiūnas,SAC,POR,L,17.37,2,8,0.25,0,0,0.0,2,2,1.0,2,3,5,3,0,0,0,2,6,4.8,2025-02-06
Neemias Queta,BOS,DAL,L,9.58,3,6,0.5,0,0,0.0,0,0,0.0,2,0,2,1,0,0,0,1,6,4.7,2025-02-06
Drew Eubanks,LAC,IND,L,13.18,2,3,0.667,0,0,0.0,0,0,0.0,2,3,5,0,0,0,0,1,4,4.6,2025-02-06
Sam Hauser,BOS,DAL,L,20.7,2,5,0.4,2,5,0.4,0,0,0.0,0,1,1,2,0,0,0,1,6,4.6,2025-02-06
Kevon Looney,GSW,LAL,L,11.92,2,3,0.667,0,0,0.0,0,0,0.0,2,1,3,2,0,0,0,3,4,4.6,2025-02-06
Quinten Post,GSW,LAL,L,11.27,2,5,0.4,2,5,0.4,0,0,0.0,0,2,2,2,0,0,0,2,6,4.5,2025-02-06
Deni Avdija,POR,SAC,W,17.7,3,6,0.5,2,4,0.5,1,2,0.5,0,4,4,0,0,0,2,2,9,4.0,2025-02-06
Goga Bitadze,ORL,DEN,L,17.27,2,2,1.0,0,0,0.0,0,0,0.0,1,2,3,0,0,1,1,1,4,4.0,2025-02-06
Terrence Shannon Jr. ,MIN,HOU,W,6.57,2,4,0.5,1,2,0.5,0,0,0.0,0,0,0,1,0,0,0,0,5,3.7,2025-02-06
Jordan Walsh,BOS,DAL,L,9.58,1,2,0.5,0,1,0.0,0,0,0.0,1,2,3,2,1,0,1,0,2,3.7,2025-02-06
